date,opening_price,highest_price,lowest_price,closing_price
2014-07-18,1466.58,1486.27,1464.75,1478.76
2014-07-21,1478.72,1483.62,1474.8,1479.84
2014-07-22,1476.22,1500.5,1475.6,1495.93
2014-07-23,1495.25,1512.37,1494.93,1506.75
2014-07-24,1508.98,1546.19,1508.98,1541.9
2014-07-25,1546.52,1557.58,1541.3,1557.01
2014-07-28,1566.33,1617.48,1566.33,1609.48
2014-07-29,1610.91,1621.06,1601.98,1611.85
2014-07-30,1606.72,1619.18,1598.26,1601.38
2014-07-31,1602.67,1622.65,1597.27,1621.85
2014-08-01,1616.79,1639.32,1607.57,1607.97
2014-08-04,1614.9,1644.96,1608.31,1644.63
2014-08-05,1644.23,1646.32,1622.03,1632.41
2014-08-06,1624.03,1626.92,1602.99,1619.01
2014-08-07,1619.2,1623.0,1592.03,1593.42
2014-08-08,1595.19,1600.8,1586.09,1595.66
2014-08-11,1601.31,1621.71,1600.68,1619.25
2014-08-12,1615.14,1615.14,1601.56,1607.91
2014-08-13,1609.46,1619.18,1596.22,1610.14
2014-08-14,1610.39,1614.58,1595.17,1596.84
2014-08-15,1598.52,1615.88,1593.22,1612.0
2014-08-18,1614.22,1623.9,1607.43,1613.13
2014-08-19,1614.39,1615.21,1598.06,1609.09
2014-08-20,1605.5,1605.51,1596.96,1600.34
2014-08-21,1599.55,1600.27,1576.32,1587.03
2014-08-22,1585.11,1596.29,1583.61,1594.18
2014-08-25,1594.71,1595.44,1575.71,1577.42
2014-08-26,1575.78,1584.15,1568.73,1573.39
2014-08-27,1573.52,1578.69,1569.98,1572.79
2014-08-28,1573.53,1580.68,1563.4,1563.89
2014-08-29,1570.39,1582.28,1565.52,1581.28
2014-09-01,1582.02,1587.39,1576.22,1586.02
2014-09-02,1588.62,1609.01,1581.13,1607.5
2014-09-03,1609.3,1628.18,1608.95,1624.03
2014-09-04,1626.91,1638.89,1621.24,1637.29
2014-09-05,1643.28,1657.61,1641.11,1656.24
2014-09-09,1657.61,1660.01,1642.44,1645.11
2014-09-10,1637.49,1637.49,1626.11,1629.99
2014-09-11,1627.96,1648.96,1619.48,1622.82
2014-09-12,1619.05,1630.28,1614.54,1630.2
2014-09-15,1625.87,1626.05,1614.23,1624.19
2014-09-16,1626.39,1629.69,1598.86,1601.01
2014-09-17,1607.16,1609.53,1596.54,1605.55
2014-09-18,1601.5,1616.48,1596.71,1609.87
2014-09-19,1609.86,1623.24,1604.71,1619.58
2014-09-22,1613.81,1613.81,1580.97,1583.89
2014-09-23,1584.29,1598.65,1584.16,1595.64
2014-09-24,1589.34,1628.51,1586.7,1625.73
2014-09-25,1633.44,1636.22,1613.53,1618.52
2014-09-26,1613.91,1618.32,1605.53,1616.09
2014-09-29,1621.09,1627.19,1613.79,1621.82
2014-09-30,1623.04,1625.01,1615.07,1619.7
2014-10-08,1625.26,1633.62,1614.5,1633.57
2014-10-09,1633.54,1639.17,1624.22,1634.04
2014-10-10,1626.58,1630.37,1616.67,1621.71
2014-10-13,1614.2,1614.2,1593.66,1605.99
2014-10-14,1603.35,1614.98,1595.25,1600.3
2014-10-15,1599.9,1615.31,1593.39,1612.77
2014-10-16,1602.38,1629.09,1599.16,1608.73
2014-10-17,1608.98,1616.37,1592.7,1608.52
2014-10-20,1613.8,1615.39,1606.12,1612.4
2014-10-21,1612.1,1615.29,1599.86,1600.84
2014-10-22,1602.45,1612.75,1596.14,1597.13
2014-10-23,1595.82,1604.5,1584.62,1586.56
2014-10-24,1587.91,1592.32,1580.71,1583.42
2014-10-27,1572.89,1572.89,1556.55,1559.91
2014-10-28,1562.75,1586.29,1562.75,1585.74
2014-10-29,1591.28,1616.06,1586.17,1608.4
2014-10-30,1607.48,1623.74,1602.55,1619.1
2014-10-31,1623.65,1665.47,1623.32,1657.29
2014-11-03,1662.75,1664.43,1646.43,1651.05
2014-11-04,1648.11,1650.81,1639.68,1645.62
2014-11-05,1645.29,1647.67,1632.72,1637.63
2014-11-06,1639.93,1643.19,1625.99,1635.96
2014-11-07,1637.14,1667.7,1633.03,1640.32
2014-11-10,1671.22,1689.05,1657.14,1689.02
2014-11-11,1701.22,1740.92,1693.24,1710.88
2014-11-12,1699.2,1731.33,1693.38,1731.02
2014-11-13,1734.17,1750.84,1720.73,1726.34
2014-11-14,1719.58,1729.72,1706.84,1728.81
2014-11-17,1758.99,1758.99,1706.94,1708.1
2014-11-18,1709.14,1709.28,1676.45,1679.42
2014-11-19,1675.84,1681.97,1667.9,1671.65
2014-11-20,1667.14,1683.61,1662.72,1676.6
2014-11-21,1676.39,1717.3,1669.18,1714.71
2014-11-24,1729.27,1772.89,1722.71,1758.1
2014-11-25,1757.68,1780.56,1752.38,1777.67
2014-11-26,1786.93,1821.1,1786.56,1820.49
2014-11-27,1834.24,1853.42,1825.35,1853.0
2014-11-28,1853.55,1915.81,1846.15,1914.44
2014-12-01,1936.81,1968.91,1916.63,1920.38
2014-12-02,1910.37,2040.47,1909.37,2021.54
2014-12-03,2031.13,2107.68,1999.73,2037.59
2014-12-04,2043.47,2161.39,2032.41,2160.66
2014-12-05,2201.82,2259.51,2115.42,2200.25
2014-12-08,2187.5,2317.55,2160.48,2298.85
2014-12-09,2283.16,2402.13,2149.6,2182.69
2014-12-10,2198.84,2263.99,2111.88,2254.82
2014-12-11,2211.54,2269.49,2190.25,2193.54
2014-12-12,2186.74,2250.57,2176.32,2193.29
2014-12-15,2170.28,2208.66,2139.47,2201.54
2014-12-16,2205.88,2299.38,2195.5,2299.28
2014-12-17,2326.85,2392.57,2307.18,2383.95
2014-12-18,2389.84,2413.68,2343.74,2364.04
2014-12-19,2366.45,2408.48,2304.61,2390.28
2014-12-22,2393.04,2479.11,2375.91,2426.68
2014-12-23,2392.61,2462.07,2360.72,2374.95
2014-12-24,2381.41,2388.41,2238.65,2270.88
2014-12-25,2295.22,2360.21,2263.42,2359.66
2014-12-26,2365.03,2471.05,2357.67,2464.82
2014-12-29,2533.99,2557.38,2437.75,2481.66
2014-12-30,2481.08,2550.46,2464.43,2523.63
2014-12-31,2529.58,2590.09,2507.94,2581.57
2015-01-05,2612.85,2678.44,2583.55,2649.64
2015-01-06,2616.29,2691.49,2591.83,2629.4
2015-01-07,2608.88,2668.84,2598.89,2635.23
2015-01-08,2647.82,2656.75,2551.82,2558.11
2015-01-09,2554.29,2692.61,2540.34,2569.02
2015-01-12,2565.74,2596.27,2499.87,2543.85
2015-01-13,2537.97,2567.62,2512.86,2527.83
2015-01-14,2539.25,2569.45,2508.66,2534.23
2015-01-15,2534.77,2633.4,2516.61,2632.89
2015-01-16,2642.74,2685.31,2626.82,2653.03
2015-01-19,2448.93,2512.58,2399.44,2410.2
2015-01-20,2381.14,2439.25,2355.26,2403.72
2015-01-21,2425.26,2553.7,2414.89,2542.32
2015-01-22,2546.7,2557.7,2504.07,2544.31
2015-01-23,2556.91,2612.93,2543.46,2564.51
2015-01-26,2563.91,2565.36,2528.08,2562.36
2015-01-27,2570.43,2574.33,2473.81,2522.1
2015-01-28,2497.05,2534.58,2476.28,2486.28
2015-01-29,2444.39,2465.31,2419.99,2442.04
2015-01-30,2456.05,2471.23,2400.63,2405.38
2015-02-02,2337.2,2376.43,2329.15,2332.53
2015-02-03,2362.41,2413.01,2335.11,2405.76
2015-02-04,2412.75,2439.61,2370.57,2372.46
